29-Apr-23 22:23:34, SEbox_0012, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-0'
29-Apr-23 22:23:34, SEbox_0011, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-0'
29-Apr-23 22:23:34, PEbox_0013, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-361901838'
29-Apr-23 22:23:37, PEbox_0012, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-2326904832'
29-Apr-23 22:23:37, PEbox_0011, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-170546100'
29-Apr-23 22:23:40, SEbox_0010, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-0'
29-Apr-23 22:23:43, PEbox_0010, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-2163491014'
29-Apr-23 22:23:44, SEbox_0014, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-0'
29-Apr-23 22:23:46, SEbox_0013, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-0'
29-Apr-23 22:23:47, PEbox_0014, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-1393408847'
29-Apr-23 22:23:49, SEbox_0012, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-0'
29-Apr-23 22:23:49, SEbox_0011, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-0'
29-Apr-23 22:23:49, PEbox_0013, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-361901943'
29-Apr-23 22:23:52, PEbox_0012, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-2326904922'
29-Apr-23 22:23:52, PEbox_0011, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-170546145'
29-Apr-23 22:23:56, SEbox_0010, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-0'
29-Apr-23 22:23:59, PEbox_0010, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-2163491104'
29-Apr-23 22:23:59, SEbox_0014, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-0'
29-Apr-23 22:24:01, SEbox_0013, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-0'
29-Apr-23 22:28:12, SEbox_0010, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-0'
29-Apr-23 22:28:12, PEbox_0010, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-2163492544'
29-Apr-23 22:28:12, SEbox_0011, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-0'
29-Apr-23 22:28:12, PEbox_0011, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-170546910'
29-Apr-23 22:28:12, SEbox_0012, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-0'
29-Apr-23 22:28:12, PEbox_0012, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-2326906452'
29-Apr-23 22:28:12, SEbox_0013, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-0'
29-Apr-23 22:28:12, PEbox_0013, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-361903728'
29-Apr-23 22:28:12, SEbox_0014, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-0'
29-Apr-23 22:28:12, PEbox_0014, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-1393410377'
29-Apr-23 22:28:12, SEbox_0015, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-0'
29-Apr-23 22:28:12, PEbox_0015, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-980764677'
29-Apr-23 22:28:12, SEbox_0016, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-0'
29-Apr-23 22:28:12, PEbox_0016, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-516250410'
29-Apr-23 22:28:12, SEbox_0017, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-0'
29-Apr-23 22:28:12, PEbox_0017, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-2711839870'
29-Apr-23 22:28:12, SEbox_0018, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-0'
29-Apr-23 22:28:12, PEbox_0018, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-311984348'
29-Apr-23 22:28:12, SEbox_0019, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-0'
29-Apr-23 22:28:12, PEbox_0019, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-585181110'
29-Apr-23 22:28:12, SEbox_0020, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-0'
29-Apr-23 22:28:12, PEbox_0020, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-1226992156'
29-Apr-23 22:28:12, SEbox_0021, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-0'
29-Apr-23 22:28:12, PEbox_0021, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-1743968138'
29-Apr-23 22:28:12, SEbox_0022, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-0'
29-Apr-23 22:28:12, PEbox_0022, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-3905271308'
29-Apr-23 22:28:13, SEbox_0023, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-0'
29-Apr-23 22:28:13, PEbox_0023, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-1420308450'
29-Apr-23 22:28:13, SEbox_0024, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-5'
29-Apr-23 22:28:13, PEbox_0024, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-945075149'
